📊 Episode 30 (Route 0): Reward=-4.36, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.65, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.01, Actor Loss=-0.270867, Critic1 Loss=0.005055, Critic2 Loss=0.009847, Alpha=0.2170, AvgQ=0.1224, AvgLogPi=-0.6841, Steps to Finish=700
📊 Episode 31 (Route 0): Reward=-5.35, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.21, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.56, Actor Loss=-0.286301, Critic1 Loss=0.003059, Critic2 Loss=0.007424, Alpha=0.2140, AvgQ=0.1401, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 32 (Route 0): Reward=-4.74, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.48, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.22, Actor Loss=-0.299225, Critic1 Loss=0.001945, Critic2 Loss=0.005602, Alpha=0.2111, AvgQ=0.1550, AvgLogPi=-0.6830, Steps to Finish=700
📊 Episode 33 (Route 0): Reward=-5.15, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.28, TTC_Penalty=-0.06, AccPenalty=0.00, LowSpeedPenalty=-5.37, Actor Loss=-0.310125, Critic1 Loss=0.001409, Critic2 Loss=0.004375, Alpha=0.2082, AvgQ=0.1676, AvgLogPi=-0.6845, Steps to Finish=700
📊 Episode 34 (Route 0): Reward=-4.45, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.48, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.93, Actor Loss=-0.319491, Critic1 Loss=0.001043, Critic2 Loss=0.003411, Alpha=0.2054, AvgQ=0.1795, AvgLogPi=-0.6814, Steps to Finish=700
📊 Episode 35 (Route 0): Reward=-3.41, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.00, TTC_Penalty=-0.14, AccPenalty=0.00, LowSpeedPenalty=-4.28, Actor Loss=-0.328520, Critic1 Loss=0.000903, Critic2 Loss=0.002783, Alpha=0.2025, AvgQ=0.1900, AvgLogPi=-0.6840, Steps to Finish=700
📊 Episode 36 (Route 0): Reward=-10.73, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.23, TTC_Penalty=-1.94, AccPenalty=0.09, LowSpeedPenalty=-0.10, Actor Loss=-0.331260, Critic1 Loss=0.006112, Critic2 Loss=0.007875, Alpha=0.2018, AvgQ=0.1934, AvgLogPi=-0.6831, Steps to Finish=201
📊 Episode 37 (Route 0): Reward=-3.83, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.79, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.62, Actor Loss=-0.341895, Critic1 Loss=0.000864, Critic2 Loss=0.002244, Alpha=0.1990, AvgQ=0.2060, AvgLogPi=-0.6828, Steps to Finish=700
📊 Episode 38 (Route 0): Reward=-4.03, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.61, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.63, Actor Loss=-0.350161, Critic1 Loss=0.005554, Critic2 Loss=0.007003, Alpha=0.1963, AvgQ=0.2160, AvgLogPi=-0.6837, Steps to Finish=700
📊 Episode 39 (Route 0): Reward=-4.98, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.29, TTC_Penalty=-0.01, AccPenalty=0.00, LowSpeedPenalty=-5.26, Actor Loss=-0.362507, Critic1 Loss=0.001472, Critic2 Loss=0.001730, Alpha=0.1936, AvgQ=0.2306, AvgLogPi=-0.6815, Steps to Finish=700
📊 Episode 40 (Route 0): Reward=-4.53, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.15, TTC_Penalty=-1.91, AccPenalty=0.00, LowSpeedPenalty=-3.77, Actor Loss=-0.370574, Critic1 Loss=0.002858, Critic2 Loss=0.006261, Alpha=0.1909, AvgQ=0.2404, AvgLogPi=-0.6816, Steps to Finish=700
📊 Episode 41 (Route 0): Reward=-4.32, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.66, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.98, Actor Loss=-0.374440, Critic1 Loss=0.002047, Critic2 Loss=0.001639, Alpha=0.1883, AvgQ=0.2458, AvgLogPi=-0.6829, Steps to Finish=700
📊 Episode 42 (Route 0): Reward=-3.72, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.00, TTC_Penalty=-0.39, AccPenalty=0.00, LowSpeedPenalty=-4.34, Actor Loss=-0.390788, Critic1 Loss=0.002271, Critic2 Loss=0.004871, Alpha=0.1857, AvgQ=0.2638, AvgLogPi=-0.6839, Steps to Finish=700
📊 Episode 43 (Route 0): Reward=-3.43, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.19, TTC_Penalty=-0.45, AccPenalty=0.00, LowSpeedPenalty=-4.17, Actor Loss=-0.399065, Critic1 Loss=0.002182, Critic2 Loss=0.003905, Alpha=0.1832, AvgQ=0.2742, AvgLogPi=-0.6817, Steps to Finish=700
📊 Episode 44 (Route 0): Reward=-5.38, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.23, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.61, Actor Loss=-0.408941, Critic1 Loss=0.002005, Critic2 Loss=0.003076, Alpha=0.1807, AvgQ=0.2855, AvgLogPi=-0.6830, Steps to Finish=700
📊 Episode 45 (Route 0): Reward=-5.37, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.74, TTC_Penalty=-0.89, AccPenalty=-0.08, LowSpeedPenalty=-5.14, Actor Loss=-0.416202, Critic1 Loss=0.002050, Critic2 Loss=0.002812, Alpha=0.1782, AvgQ=0.2945, AvgLogPi=-0.6832, Steps to Finish=700
📊 Episode 46 (Route 0): Reward=-5.10, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.31, TTC_Penalty=-0.01, AccPenalty=0.00, LowSpeedPenalty=-5.40, Actor Loss=-0.425995, Critic1 Loss=0.001978, Critic2 Loss=0.002581, Alpha=0.1757, AvgQ=0.3057, AvgLogPi=-0.6842, Steps to Finish=700
📊 Episode 47 (Route 0): Reward=-15.20, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.05, TTC_Penalty=-3.26, AccPenalty=-0.11, LowSpeedPenalty=-2.88, Actor Loss=-0.434982, Critic1 Loss=0.001724, Critic2 Loss=0.002009, Alpha=0.1734, AvgQ=0.3167, AvgLogPi=-0.6821, Steps to Finish=668
📊 Episode 48 (Route 0): Reward=-3.57, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.31, TTC_Penalty=-1.67, AccPenalty=0.02, LowSpeedPenalty=-3.24, Actor Loss=-0.441135, Critic1 Loss=0.007233, Critic2 Loss=0.007641, Alpha=0.1711, AvgQ=0.3247, AvgLogPi=-0.6807, Steps to Finish=700
📊 Episode 49 (Route 0): Reward=-2.54, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.62, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.16, Actor Loss=-0.452362, Critic1 Loss=0.001969, Critic2 Loss=0.002100, Alpha=0.1687, AvgQ=0.3373, AvgLogPi=-0.6820, Steps to Finish=700
