📊 Episode 25 (Route 0): Reward=-4.72, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.54, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.26, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 26 (Route 0): Reward=-3.50, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.75, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.25, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 27 (Route 0): Reward=-6.44, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=1.92, D_Penalty=-6.8291, AccPenalty=1.10, LowSpeedPenalty=-3.63, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 28 (Route 0): Reward=-3.41, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.24, D_Penalty=-1.0765, AccPenalty=-0.56, LowSpeedPenalty=-3.02, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 29 (Route 0): Reward=-4.49, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.21, D_Penalty=-2.0530, AccPenalty=0.06, LowSpeedPenalty=-3.71, Actor Loss=-0.248402, Critic1 Loss=0.026846, Critic2 Loss=0.026044, Alpha=0.2216, AvgQ=0.0970, AvgLogPi=-0.6833, Steps to Finish=700
📊 Episode 30 (Route 0): Reward=-5.44, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.22, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.65, Actor Loss=-0.267852, Critic1 Loss=0.022360, Critic2 Loss=0.020102, Alpha=0.2186, AvgQ=0.1186, AvgLogPi=-0.6826, Steps to Finish=700
📊 Episode 31 (Route 0): Reward=-4.10, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.67, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.77, Actor Loss=-0.283650, Critic1 Loss=0.019229, Critic2 Loss=0.015999, Alpha=0.2156, AvgQ=0.1366, AvgLogPi=-0.6819, Steps to Finish=700
📊 Episode 32 (Route 0): Reward=-8.94, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.06, D_Penalty=-8.2104, AccPenalty=0.70, LowSpeedPenalty=-2.49, Actor Loss=-0.295178, Critic1 Loss=0.017045, Critic2 Loss=0.012721, Alpha=0.2126, AvgQ=0.1502, AvgLogPi=-0.6819, Steps to Finish=700
📊 Episode 33 (Route 0): Reward=-2.77, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.07, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-3.84, Actor Loss=-0.307669, Critic1 Loss=0.014985, Critic2 Loss=0.010214, Alpha=0.2097, AvgQ=0.1646, AvgLogPi=-0.6820, Steps to Finish=700
📊 Episode 34 (Route 0): Reward=-4.25, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.79, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.04, Actor Loss=-0.314497, Critic1 Loss=0.012672, Critic2 Loss=0.008663, Alpha=0.2068, AvgQ=0.1736, AvgLogPi=-0.6810, Steps to Finish=700
📊 Episode 35 (Route 0): Reward=-3.75, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.90, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.65, Actor Loss=-0.320293, Critic1 Loss=0.010575, Critic2 Loss=0.007603, Alpha=0.2040, AvgQ=0.1811, AvgLogPi=-0.6820, Steps to Finish=700
📊 Episode 36 (Route 0): Reward=-5.00, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.19, D_Penalty=-2.7083, AccPenalty=0.00, LowSpeedPenalty=-3.48, Actor Loss=-0.329517, Critic1 Loss=0.009345, Critic2 Loss=0.007267, Alpha=0.2012, AvgQ=0.1920, AvgLogPi=-0.6835, Steps to Finish=700
📊 Episode 37 (Route 0): Reward=-4.07, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.79, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.86, Actor Loss=-0.339056, Critic1 Loss=0.008352, Critic2 Loss=0.006993, Alpha=0.1984, AvgQ=0.2035, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 38 (Route 0): Reward=-4.40, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.64, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.04, Actor Loss=-0.343688, Critic1 Loss=0.007863, Critic2 Loss=0.006695, Alpha=0.1957, AvgQ=0.2099, AvgLogPi=-0.6833, Steps to Finish=700
📊 Episode 39 (Route 0): Reward=-4.62, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.41, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.02, Actor Loss=-0.349837, Critic1 Loss=0.004648, Critic2 Loss=0.003838, Alpha=0.1930, AvgQ=0.2180, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 40 (Route 0): Reward=-3.90, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.14, D_Penalty=-0.8190, AccPenalty=-0.04, LowSpeedPenalty=-4.19, Actor Loss=-0.356268, Critic1 Loss=0.007001, Critic2 Loss=0.006026, Alpha=0.1904, AvgQ=0.2265, AvgLogPi=-0.6815, Steps to Finish=700
📊 Episode 41 (Route 0): Reward=-5.07, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.32, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.38, Actor Loss=-0.367279, Critic1 Loss=0.004515, Critic2 Loss=0.003992, Alpha=0.1878, AvgQ=0.2392, AvgLogPi=-0.6818, Steps to Finish=700
📊 Episode 42 (Route 0): Reward=-4.55, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.40, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.95, Actor Loss=-0.375037, Critic1 Loss=0.006500, Critic2 Loss=0.005800, Alpha=0.1852, AvgQ=0.2485, AvgLogPi=-0.6832, Steps to Finish=700
📊 Episode 43 (Route 0): Reward=-3.98, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.78, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.75, Actor Loss=-0.386585, Critic1 Loss=0.003879, Critic2 Loss=0.003577, Alpha=0.1827, AvgQ=0.2620, AvgLogPi=-0.6818, Steps to Finish=700
📊 Episode 44 (Route 0): Reward=-4.67, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.50, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.17, Actor Loss=-0.392575, Critic1 Loss=0.006329, Critic2 Loss=0.005725, Alpha=0.1802, AvgQ=0.2697, AvgLogPi=-0.6821, Steps to Finish=700
📊 Episode 45 (Route 0): Reward=-5.01, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.33, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.34, Actor Loss=-0.403899, Critic1 Loss=0.003796, Critic2 Loss=0.003592, Alpha=0.1777, AvgQ=0.2827, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 46 (Route 0): Reward=-5.22, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.30, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.52, Actor Loss=-0.411433, Critic1 Loss=0.005941, Critic2 Loss=0.005430, Alpha=0.1753, AvgQ=0.2919, AvgLogPi=-0.6821, Steps to Finish=700
📊 Episode 47 (Route 0): Reward=-4.28, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.70, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.98, Actor Loss=-0.424223, Critic1 Loss=0.006208, Critic2 Loss=0.005693, Alpha=0.1729, AvgQ=0.3063, AvgLogPi=-0.6821, Steps to Finish=700
📊 Episode 48 (Route 0): Reward=-5.46, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.24, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.70, Actor Loss=-0.433211, Critic1 Loss=0.005459, Critic2 Loss=0.005037, Alpha=0.1705, AvgQ=0.3168, AvgLogPi=-0.6828, Steps to Finish=700
📊 Episode 49 (Route 0): Reward=-5.03, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.29, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.32, Actor Loss=-0.446716, Critic1 Loss=0.003744, Critic2 Loss=0.003701, Alpha=0.1682, AvgQ=0.3318, AvgLogPi=-0.6834, Steps to Finish=700
📊 Episode 50 (Route 0): Reward=-4.62, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.38, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.99, Actor Loss=-0.453833, Critic1 Loss=0.005252, Critic2 Loss=0.004933, Alpha=0.1659, AvgQ=0.3407, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 51 (Route 0): Reward=-6.02, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.18, D_Penalty=-3.8963, AccPenalty=0.23, LowSpeedPenalty=-3.53, Actor Loss=-0.464964, Critic1 Loss=0.003691, Critic2 Loss=0.003665, Alpha=0.1636, AvgQ=0.3534, AvgLogPi=-0.6820, Steps to Finish=700
📊 Episode 52 (Route 0): Reward=-4.24, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.78, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.02, Actor Loss=-0.477025, Critic1 Loss=0.005061, Critic2 Loss=0.004801, Alpha=0.1613, AvgQ=0.3670, AvgLogPi=-0.6821, Steps to Finish=700
📊 Episode 53 (Route 0): Reward=-3.83, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.20, D_Penalty=-0.8678, AccPenalty=0.00, LowSpeedPenalty=-4.17, Actor Loss=-0.487473, Critic1 Loss=0.005380, Critic2 Loss=0.005087, Alpha=0.1591, AvgQ=0.3790, AvgLogPi=-0.6815, Steps to Finish=700
📊 Episode 54 (Route 0): Reward=-7.13, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.21, D_Penalty=-4.6662, AccPenalty=0.32, LowSpeedPenalty=-3.99, Actor Loss=-0.499032, Critic1 Loss=0.003496, Critic2 Loss=0.003526, Alpha=0.1569, AvgQ=0.3922, AvgLogPi=-0.6808, Steps to Finish=700
📊 Episode 55 (Route 0): Reward=-5.12, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.28, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.40, Actor Loss=-0.505503, Critic1 Loss=0.003318, Critic2 Loss=0.003370, Alpha=0.1548, AvgQ=0.3998, AvgLogPi=-0.6826, Steps to Finish=700
📊 Episode 56 (Route 0): Reward=-4.09, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.63, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.72, Actor Loss=-0.515100, Critic1 Loss=0.004946, Critic2 Loss=0.004742, Alpha=0.1527, AvgQ=0.4108, AvgLogPi=-0.6828, Steps to Finish=700
📊 Episode 57 (Route 0): Reward=-3.58, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.83, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.41, Actor Loss=-0.523851, Critic1 Loss=0.003206, Critic2 Loss=0.003270, Alpha=0.1506, AvgQ=0.4213, AvgLogPi=-0.6809, Steps to Finish=700
📊 Episode 58 (Route 0): Reward=-6.37, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.04, D_Penalty=-7.5391, AccPenalty=0.83, LowSpeedPenalty=-0.71, Actor Loss=-0.534941, Critic1 Loss=0.003484, Critic2 Loss=0.003556, Alpha=0.1485, AvgQ=0.4334, AvgLogPi=-0.6835, Steps to Finish=700
📊 Episode 59 (Route 0): Reward=-4.78, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.42, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.20, Actor Loss=-0.546358, Critic1 Loss=0.003398, Critic2 Loss=0.003466, Alpha=0.1465, AvgQ=0.4465, AvgLogPi=-0.6819, Steps to Finish=700
📊 Episode 60 (Route 0): Reward=-4.13, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.66, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.78, Actor Loss=-0.556376, Critic1 Loss=0.004759, Critic2 Loss=0.004597, Alpha=0.1445, AvgQ=0.4579, AvgLogPi=-0.6817, Steps to Finish=700
📊 Episode 61 (Route 0): Reward=-2.99, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.22, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.22, Actor Loss=-0.564319, Critic1 Loss=0.004645, Critic2 Loss=0.004489, Alpha=0.1425, AvgQ=0.4672, AvgLogPi=-0.6813, Steps to Finish=700
📊 Episode 62 (Route 0): Reward=-2.68, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.36, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.04, Actor Loss=-0.574210, Critic1 Loss=0.003529, Critic2 Loss=0.003576, Alpha=0.1405, AvgQ=0.4785, AvgLogPi=-0.6810, Steps to Finish=700
📊 Episode 63 (Route 0): Reward=-6.34, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.00, D_Penalty=-3.6325, AccPenalty=0.46, LowSpeedPenalty=-4.17, Actor Loss=-0.582261, Critic1 Loss=0.003338, Critic2 Loss=0.003378, Alpha=0.1386, AvgQ=0.4879, AvgLogPi=-0.6810, Steps to Finish=700
📊 Episode 64 (Route 0): Reward=-4.39, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.80, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.19, Actor Loss=-0.591013, Critic1 Loss=0.004742, Critic2 Loss=0.004592, Alpha=0.1367, AvgQ=0.4981, AvgLogPi=-0.6794, Steps to Finish=700
📊 Episode 65 (Route 0): Reward=-9.92, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.10, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-1.02, Actor Loss=-0.594119, Critic1 Loss=0.003282, Critic2 Loss=0.003377, Alpha=0.1359, AvgQ=0.5015, AvgLogPi=-0.6813, Steps to Finish=316
📊 Episode 66 (Route 0): Reward=-4.15, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.62, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.77, Actor Loss=-0.605249, Critic1 Loss=0.005299, Critic2 Loss=0.004821, Alpha=0.1340, AvgQ=0.5138, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 67 (Route 0): Reward=-3.44, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.25, D_Penalty=-1.1606, AccPenalty=0.21, LowSpeedPenalty=-3.75, Actor Loss=-0.611802, Critic1 Loss=0.005033, Critic2 Loss=0.004872, Alpha=0.1322, AvgQ=0.5219, AvgLogPi=-0.6797, Steps to Finish=700
