📊 Episode 25 (Route 0): Reward=-5.78, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-4.14, SpeedReward=1.29, TTC_Penalty=0.00, AccPenalty=-0.16, LowSpeedPenalty=-2.78, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 26 (Route 0): Reward=-2.41, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-0.52, SpeedReward=1.53, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.42, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 27 (Route 0): Reward=-3.69, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.69, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.38, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 28 (Route 0): Reward=-10.79, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=-1.16, SpeedReward=1.11, TTC_Penalty=0.00, AccPenalty=0.11, LowSpeedPenalty=-0.86, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=274
📊 Episode 29 (Route 0): Reward=-0.48, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-0.31, SpeedReward=2.32, TTC_Penalty=0.00, AccPenalty=-0.02, LowSpeedPenalty=-3.47, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 30 (Route 0): Reward=-1.58, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-2.07, SpeedReward=1.98, TTC_Penalty=0.00, AccPenalty=0.04, LowSpeedPenalty=-2.53, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 31 (Route 0): Reward=-0.95, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-1.32, SpeedReward=2.30, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.93, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 32 (Route 0): Reward=-1.69, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-3.76, SpeedReward=2.57, TTC_Penalty=0.00, AccPenalty=-0.12, LowSpeedPenalty=-1.38, Actor Loss=-0.271113, Critic1 Loss=0.051421, Critic2 Loss=0.048271, Alpha=0.2205, AvgQ=0.1203, AvgLogPi=-0.6838, Steps to Finish=700
📊 Episode 33 (Route 0): Reward=-5.13, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.25, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.38, Actor Loss=-0.286673, Critic1 Loss=0.041894, Critic2 Loss=0.035487, Alpha=0.2175, AvgQ=0.1382, AvgLogPi=-0.6825, Steps to Finish=700
📊 Episode 34 (Route 0): Reward=-4.28, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.71, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.99, Actor Loss=-0.297342, Critic1 Loss=0.041423, Critic2 Loss=0.027851, Alpha=0.2145, AvgQ=0.1508, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 35 (Route 0): Reward=-2.88, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-0.08, SpeedReward=1.22, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.02, Actor Loss=-0.306381, Critic1 Loss=0.028032, Critic2 Loss=0.019112, Alpha=0.2115, AvgQ=0.1618, AvgLogPi=-0.6832, Steps to Finish=700
📊 Episode 36 (Route 0): Reward=-4.81, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.47, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.28, Actor Loss=-0.312428, Critic1 Loss=0.024426, Critic2 Loss=0.018478, Alpha=0.2086, AvgQ=0.1699, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 37 (Route 0): Reward=-4.77, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.51, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.28, Actor Loss=-0.333742, Critic1 Loss=0.021176, Critic2 Loss=0.015934, Alpha=0.2058, AvgQ=0.1932, AvgLogPi=-0.6827, Steps to Finish=700
