📊 Episode 25 (Route 0): Reward=-5.20, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.35, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.55, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 26 (Route 0): Reward=-4.95, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.43, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.38, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 27 (Route 0): Reward=-11.52, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.06, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.58, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=483
📊 Episode 28 (Route 0): Reward=-3.88, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.84, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.72, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 29 (Route 0): Reward=-4.62, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.45, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.07, Actor Loss=-0.284241, Critic1 Loss=0.028150, Critic2 Loss=0.028300, Alpha=0.2220, AvgQ=0.1327, AvgLogPi=-0.6825, Steps to Finish=700
📊 Episode 30 (Route 0): Reward=-4.30, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.80, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.10, Actor Loss=-0.303265, Critic1 Loss=0.022899, Critic2 Loss=0.023532, Alpha=0.2189, AvgQ=0.1539, AvgLogPi=-0.6824, Steps to Finish=700
📊 Episode 31 (Route 0): Reward=-5.54, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.22, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.76, Actor Loss=-0.320303, Critic1 Loss=0.019366, Critic2 Loss=0.020172, Alpha=0.2159, AvgQ=0.1728, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 32 (Route 0): Reward=-3.67, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.90, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.57, Actor Loss=-0.337720, Critic1 Loss=0.012422, Critic2 Loss=0.013055, Alpha=0.2130, AvgQ=0.1921, AvgLogPi=-0.6839, Steps to Finish=700
📊 Episode 33 (Route 0): Reward=-4.30, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.77, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.07, Actor Loss=-0.350949, Critic1 Loss=0.014353, Critic2 Loss=0.015743, Alpha=0.2100, AvgQ=0.2076, AvgLogPi=-0.6824, Steps to Finish=700
📊 Episode 34 (Route 0): Reward=-4.24, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.73, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.96, Actor Loss=-0.366578, Critic1 Loss=0.008483, Critic2 Loss=0.009547, Alpha=0.2072, AvgQ=0.2252, AvgLogPi=-0.6825, Steps to Finish=700
📊 Episode 35 (Route 0): Reward=-4.99, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.31, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.29, Actor Loss=-0.377901, Critic1 Loss=0.008909, Critic2 Loss=0.010729, Alpha=0.2043, AvgQ=0.2383, AvgLogPi=-0.6830, Steps to Finish=700
📊 Episode 36 (Route 0): Reward=-3.54, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.90, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.44, Actor Loss=-0.391227, Critic1 Loss=0.008205, Critic2 Loss=0.009085, Alpha=0.2015, AvgQ=0.2536, AvgLogPi=-0.6830, Steps to Finish=700
📊 Episode 37 (Route 0): Reward=-4.38, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.63, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.01, Actor Loss=-0.402037, Critic1 Loss=0.007721, Critic2 Loss=0.008734, Alpha=0.1988, AvgQ=0.2664, AvgLogPi=-0.6823, Steps to Finish=700
📊 Episode 38 (Route 0): Reward=-4.26, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.77, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.02, Actor Loss=-0.409148, Critic1 Loss=0.005934, Critic2 Loss=0.006117, Alpha=0.1960, AvgQ=0.2751, AvgLogPi=-0.6836, Steps to Finish=700
📊 Episode 39 (Route 0): Reward=-4.68, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.38, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.05, Actor Loss=-0.413814, Critic1 Loss=0.006458, Critic2 Loss=0.007071, Alpha=0.1934, AvgQ=0.2817, AvgLogPi=-0.6830, Steps to Finish=700
